"passenger_id","survived","pclass","sex","fare","embarked","age_months","minor","family_size","traveling_alone"
131,0,3,"male",7.9,"C",396,FALSE,1,TRUE
132,0,3,"male",7,"S",240,FALSE,1,TRUE
133,0,3,"female",14.5,"S",564,FALSE,2,FALSE
134,1,2,"female",26,"S",348,FALSE,2,FALSE
135,0,2,"male",13,"S",300,FALSE,1,TRUE
136,0,2,"male",15,"C",276,FALSE,1,TRUE
137,1,1,"female",26.3,"S",228,TRUE,3,FALSE
138,0,1,"male",53.1,"S",444,FALSE,2,FALSE
139,0,3,"male",9.2,"S",192,TRUE,1,TRUE
140,0,1,"male",79.2,"C",288,FALSE,1,TRUE
141,0,3,"female",15.2,"C",NA,NA,3,FALSE
142,1,3,"female",7.8,"S",264,FALSE,1,TRUE
143,1,3,"female",15.8,"S",288,FALSE,2,FALSE
144,0,3,"male",6.8,"Q",228,TRUE,1,TRUE
145,0,2,"male",11.5,"S",216,TRUE,1,TRUE
146,0,2,"male",36.8,"S",228,TRUE,3,FALSE
147,1,3,"male",7.8,"S",324,FALSE,1,TRUE
148,0,3,"female",34.4,"S",108,TRUE,5,FALSE
149,0,2,"male",26,"S",438,FALSE,3,FALSE
150,0,2,"male",13,"S",504,FALSE,1,TRUE
151,0,2,"male",12.5,"S",612,FALSE,1,TRUE
152,1,1,"female",66.6,"S",264,FALSE,2,FALSE
153,0,3,"male",8.1,"S",666,FALSE,1,TRUE
154,0,3,"male",14.5,"S",486,FALSE,3,FALSE
155,0,3,"male",7.3,"S",NA,NA,1,TRUE
156,0,1,"male",61.4,"C",612,FALSE,2,FALSE
157,1,3,"female",7.7,"Q",192,TRUE,1,TRUE
158,0,3,"male",8.1,"S",360,FALSE,1,TRUE
159,0,3,"male",8.7,"S",NA,NA,1,TRUE
160,0,3,"male",69.6,"S",NA,NA,11,FALSE
161,0,3,"male",16.1,"S",528,FALSE,2,FALSE
162,1,2,"female",15.8,"S",480,FALSE,1,TRUE
163,0,3,"male",7.8,"S",312,FALSE,1,TRUE
164,0,3,"male",8.7,"S",204,TRUE,1,TRUE
165,0,3,"male",39.7,"S",12,TRUE,6,FALSE
166,1,3,"male",20.5,"S",108,TRUE,3,FALSE
167,1,1,"female",55,"S",NA,NA,2,FALSE
168,0,3,"female",27.9,"S",540,FALSE,6,FALSE
169,0,1,"male",25.9,"S",NA,NA,1,TRUE
170,0,3,"male",56.5,"S",336,FALSE,1,TRUE
171,0,1,"male",33.5,"S",732,FALSE,1,TRUE
172,0,3,"male",29.1,"Q",48,TRUE,6,FALSE
173,1,3,"female",11.1,"S",12,TRUE,3,FALSE
174,0,3,"male",7.9,"S",252,FALSE,1,TRUE
175,0,1,"male",30.7,"C",672,FALSE,1,TRUE
176,0,3,"male",7.9,"S",216,TRUE,3,FALSE
177,0,3,"male",25.5,"S",NA,NA,5,FALSE
178,0,1,"female",28.7,"C",600,FALSE,1,TRUE
179,0,2,"male",13,"S",360,FALSE,1,TRUE
180,0,3,"male",0,"S",432,FALSE,1,TRUE
181,0,3,"female",69.6,"S",NA,NA,11,FALSE
182,0,2,"male",15.1,"C",NA,NA,1,TRUE
183,0,3,"male",31.4,"S",108,TRUE,7,FALSE
184,1,2,"male",39,"S",12,TRUE,4,FALSE
185,1,3,"female",22,"S",48,TRUE,3,FALSE
186,0,1,"male",50,"S",NA,NA,1,TRUE
187,1,3,"female",15.5,"Q",NA,NA,2,FALSE
188,1,1,"male",26.6,"S",540,FALSE,1,TRUE
189,0,3,"male",15.5,"Q",480,FALSE,3,FALSE
190,0,3,"male",7.9,"S",432,FALSE,1,TRUE
191,1,2,"female",13,"S",384,FALSE,1,TRUE
192,0,2,"male",13,"S",228,TRUE,1,TRUE
193,1,3,"female",7.9,"S",228,TRUE,2,FALSE
194,1,2,"male",26,"S",36,TRUE,3,FALSE
195,1,1,"female",27.7,"C",528,FALSE,1,TRUE
196,1,1,"female",146.5,"C",696,FALSE,1,TRUE
197,0,3,"male",7.8,"Q",NA,NA,1,TRUE
198,0,3,"male",8.4,"S",504,FALSE,2,FALSE
199,1,3,"female",7.8,"Q",NA,NA,1,TRUE
200,0,2,"female",13,"S",288,FALSE,1,TRUE
201,0,3,"male",9.5,"S",336,FALSE,1,TRUE
202,0,3,"male",69.6,"S",NA,NA,11,FALSE
203,0,3,"male",6.5,"S",408,FALSE,1,TRUE
204,0,3,"male",7.2,"C",546,FALSE,1,TRUE
205,1,3,"male",8.1,"S",216,TRUE,1,TRUE
206,0,3,"female",10.5,"S",24,TRUE,2,FALSE
207,0,3,"male",15.8,"S",384,FALSE,2,FALSE
208,1,3,"male",18.8,"C",312,FALSE,1,TRUE
209,1,3,"female",7.8,"Q",192,TRUE,1,TRUE
210,1,1,"male",31,"C",480,FALSE,1,TRUE
211,0,3,"male",7,"S",288,FALSE,1,TRUE
212,1,2,"female",21,"S",420,FALSE,1,TRUE
213,0,3,"male",7.2,"S",264,FALSE,1,TRUE
214,0,2,"male",13,"S",360,FALSE,1,TRUE
215,0,3,"male",7.8,"Q",NA,NA,2,FALSE
216,1,1,"female",113.3,"C",372,FALSE,2,FALSE
217,1,3,"female",7.9,"S",324,FALSE,1,TRUE
218,0,2,"male",27,"S",504,FALSE,2,FALSE
219,1,1,"female",76.3,"C",384,FALSE,1,TRUE
220,0,2,"male",10.5,"S",360,FALSE,1,TRUE
221,1,3,"male",8.1,"S",192,TRUE,1,TRUE
222,0,2,"male",13,"S",324,FALSE,1,TRUE
223,0,3,"male",8.1,"S",612,FALSE,1,TRUE
224,0,3,"male",7.9,"S",NA,NA,1,TRUE
225,1,1,"male",90,"S",456,FALSE,2,FALSE
226,0,3,"male",9.3,"S",264,FALSE,1,TRUE
227,1,2,"male",10.5,"S",228,TRUE,1,TRUE
228,0,3,"male",7.2,"S",246,FALSE,1,TRUE
229,0,2,"male",13,"S",216,TRUE,1,TRUE
230,0,3,"female",25.5,"S",NA,NA,5,FALSE
231,1,1,"female",83.5,"S",420,FALSE,2,FALSE
232,0,3,"male",7.8,"S",348,FALSE,1,TRUE
233,0,2,"male",13.5,"S",708,FALSE,1,TRUE
234,1,3,"female",31.4,"S",60,TRUE,7,FALSE
235,0,2,"male",10.5,"S",288,FALSE,1,TRUE
236,0,3,"female",7.6,"S",NA,NA,1,TRUE
237,0,2,"male",26,"S",528,FALSE,2,FALSE
238,1,2,"female",26.2,"S",96,TRUE,3,FALSE
239,0,2,"male",10.5,"S",228,TRUE,1,TRUE
240,0,2,"male",12.3,"S",396,FALSE,1,TRUE
241,0,3,"female",14.5,"C",NA,NA,2,FALSE
242,1,3,"female",15.5,"Q",NA,NA,2,FALSE
243,0,2,"male",10.5,"S",348,FALSE,1,TRUE
244,0,3,"male",7.1,"S",264,FALSE,1,TRUE
245,0,3,"male",7.2,"C",360,FALSE,1,TRUE
246,0,1,"male",90,"Q",528,FALSE,3,FALSE
247,0,3,"female",7.8,"S",300,FALSE,1,TRUE
248,1,2,"female",14.5,"S",288,FALSE,3,FALSE
249,1,1,"male",52.6,"S",444,FALSE,3,FALSE
250,0,2,"male",26,"S",648,FALSE,2,FALSE
251,0,3,"male",7.2,"S",NA,NA,1,TRUE
252,0,3,"female",10.5,"S",348,FALSE,3,FALSE
253,0,1,"male",26.6,"S",744,FALSE,1,TRUE
254,0,3,"male",16.1,"S",360,FALSE,2,FALSE
255,0,3,"female",20.2,"S",492,FALSE,3,FALSE
256,1,3,"female",15.2,"C",348,FALSE,3,FALSE
257,1,1,"female",79.2,"C",NA,NA,1,TRUE
258,1,1,"female",86.5,"S",360,FALSE,1,TRUE
259,1,1,"female",512.3,"C",420,FALSE,1,TRUE
260,1,2,"female",26,"S",600,FALSE,2,FALSE
261,0,3,"male",7.8,"Q",NA,NA,1,TRUE
262,1,3,"male",31.4,"S",36,TRUE,7,FALSE
263,0,1,"male",79.7,"S",624,FALSE,3,FALSE
264,0,1,"male",0,"S",480,FALSE,1,TRUE
265,0,3,"female",7.8,"Q",NA,NA,1,TRUE
266,0,2,"male",10.5,"S",432,FALSE,1,TRUE
267,0,3,"male",39.7,"S",192,TRUE,6,FALSE
268,1,3,"male",7.8,"S",300,FALSE,2,FALSE
269,1,1,"female",153.5,"S",696,FALSE,2,FALSE
270,1,1,"female",135.6,"S",420,FALSE,1,TRUE
271,0,1,"male",31,"S",NA,NA,1,TRUE
272,1,3,"male",0,"S",300,FALSE,1,TRUE
273,1,2,"female",19.5,"S",492,FALSE,2,FALSE
274,0,1,"male",29.7,"C",444,FALSE,2,FALSE
275,1,3,"female",7.8,"Q",NA,NA,1,TRUE
276,1,1,"female",78,"S",756,FALSE,2,FALSE
277,0,3,"female",7.8,"S",540,FALSE,1,TRUE
278,0,2,"male",0,"S",NA,NA,1,TRUE
279,0,3,"male",29.1,"Q",84,TRUE,6,FALSE
280,1,3,"female",20.2,"S",420,FALSE,3,FALSE
281,0,3,"male",7.8,"Q",780,FALSE,1,TRUE
282,0,3,"male",7.9,"S",336,FALSE,1,TRUE
283,0,3,"male",9.5,"S",192,TRUE,1,TRUE
284,1,3,"male",8.1,"S",228,TRUE,1,TRUE
285,0,1,"male",26,"S",NA,NA,1,TRUE
286,0,3,"male",8.7,"C",396,FALSE,1,TRUE
287,1,3,"male",9.5,"S",360,FALSE,1,TRUE
288,0,3,"male",7.9,"S",264,FALSE,1,TRUE
289,1,2,"male",13,"S",504,FALSE,1,TRUE
290,1,3,"female",7.8,"Q",264,FALSE,1,TRUE
291,1,1,"female",78.8,"S",312,FALSE,1,TRUE
292,1,1,"female",91.1,"C",228,TRUE,2,FALSE
293,0,2,"male",12.9,"C",432,FALSE,1,TRUE
294,0,3,"female",8.8,"S",288,FALSE,1,TRUE
295,0,3,"male",7.9,"S",288,FALSE,1,TRUE
296,0,1,"male",27.7,"C",NA,NA,1,TRUE
297,0,3,"male",7.2,"C",282,FALSE,1,TRUE
298,0,1,"female",151.6,"S",24,TRUE,4,FALSE
299,1,1,"male",30.5,"S",NA,NA,1,TRUE
300,1,1,"female",247.5,"C",600,FALSE,2,FALSE
301,1,3,"female",7.8,"Q",NA,NA,1,TRUE
302,1,3,"male",23.2,"Q",NA,NA,3,FALSE
303,0,3,"male",0,"S",228,TRUE,1,TRUE
304,1,2,"female",12.3,"Q",NA,NA,1,TRUE
305,0,3,"male",8.1,"S",NA,NA,1,TRUE
306,1,1,"male",151.6,"S",11,TRUE,4,FALSE
307,1,1,"female",110.9,"C",NA,NA,1,TRUE
308,1,1,"female",108.9,"C",204,TRUE,2,FALSE
309,0,2,"male",24,"C",360,FALSE,2,FALSE
310,1,1,"female",56.9,"C",360,FALSE,1,TRUE
311,1,1,"female",83.2,"C",288,FALSE,1,TRUE
312,1,1,"female",262.4,"C",216,TRUE,5,FALSE
313,0,2,"female",26,"S",312,FALSE,3,FALSE
314,0,3,"male",7.9,"S",336,FALSE,1,TRUE
315,0,2,"male",26.2,"S",516,FALSE,3,FALSE
316,1,3,"female",7.9,"S",312,FALSE,1,TRUE
317,1,2,"female",26,"S",288,FALSE,2,FALSE
318,0,2,"male",14,"S",648,FALSE,1,TRUE
319,1,1,"female",164.9,"S",372,FALSE,3,FALSE
320,1,1,"female",134.5,"C",480,FALSE,3,FALSE
321,0,3,"male",7.2,"S",264,FALSE,1,TRUE
322,0,3,"male",7.9,"S",324,FALSE,1,TRUE
323,1,2,"female",12.3,"Q",360,FALSE,1,TRUE
324,1,2,"female",29,"S",264,FALSE,3,FALSE
325,0,3,"male",69.6,"S",NA,NA,11,FALSE
326,1,1,"female",135.6,"C",432,FALSE,1,TRUE
327,0,3,"male",6.2,"S",732,FALSE,1,TRUE
328,1,2,"female",13,"S",432,FALSE,1,TRUE
329,1,3,"female",20.5,"S",372,FALSE,3,FALSE
330,1,1,"female",58,"C",192,TRUE,2,FALSE
331,1,3,"female",23.2,"Q",NA,NA,3,FALSE
332,0,1,"male",28.5,"S",546,FALSE,1,TRUE
333,0,1,"male",153.5,"S",456,FALSE,2,FALSE
334,0,3,"male",18,"S",192,TRUE,3,FALSE
335,1,1,"female",133.7,"S",NA,NA,2,FALSE
336,0,3,"male",7.9,"S",NA,NA,1,TRUE
337,0,1,"male",66.6,"S",348,FALSE,2,FALSE
338,1,1,"female",134.5,"C",492,FALSE,1,TRUE
339,1,3,"male",8.1,"S",540,FALSE,1,TRUE
340,0,1,"male",35.5,"S",540,FALSE,1,TRUE
341,1,2,"male",26,"S",24,TRUE,3,FALSE
342,1,1,"female",263,"S",288,FALSE,6,FALSE
343,0,2,"male",13,"S",336,FALSE,1,TRUE
344,0,2,"male",13,"S",300,FALSE,1,TRUE
345,0,2,"male",13,"S",432,FALSE,1,TRUE
346,1,2,"female",13,"S",288,FALSE,1,TRUE
347,1,2,"female",13,"S",480,FALSE,1,TRUE
348,1,3,"female",16.1,"S",NA,NA,2,FALSE
349,1,3,"male",15.9,"S",36,TRUE,3,FALSE
350,0,3,"male",8.7,"S",504,FALSE,1,TRUE
351,0,3,"male",9.2,"S",276,FALSE,1,TRUE
352,0,1,"male",35,"S",NA,NA,1,TRUE
353,0,3,"male",7.2,"C",180,TRUE,3,FALSE
354,0,3,"male",17.8,"S",300,FALSE,2,FALSE
355,0,3,"male",7.2,"C",NA,NA,1,TRUE
356,0,3,"male",9.5,"S",336,FALSE,1,TRUE
357,1,1,"female",55,"S",264,FALSE,2,FALSE
358,0,2,"female",13,"S",456,FALSE,1,TRUE
359,1,3,"female",7.9,"Q",NA,NA,1,TRUE
360,1,3,"female",7.9,"Q",NA,NA,1,TRUE
361,0,3,"male",27.9,"S",480,FALSE,6,FALSE
362,0,2,"male",27.7,"C",348,FALSE,2,FALSE
363,0,3,"female",14.5,"C",540,FALSE,2,FALSE
364,0,3,"male",7,"S",420,FALSE,1,TRUE
365,0,3,"male",15.5,"Q",NA,NA,2,FALSE
366,0,3,"male",7.2,"S",360,FALSE,1,TRUE
367,1,1,"female",75.2,"C",720,FALSE,2,FALSE
368,1,3,"female",7.2,"C",NA,NA,1,TRUE
369,1,3,"female",7.8,"Q",NA,NA,1,TRUE
370,1,1,"female",69.3,"C",288,FALSE,1,TRUE
371,1,1,"male",55.4,"C",300,FALSE,2,FALSE
372,0,3,"male",6.5,"S",216,TRUE,2,FALSE
373,0,3,"male",8.1,"S",228,TRUE,1,TRUE
374,0,1,"male",135.6,"C",264,FALSE,1,TRUE
375,0,3,"female",21.1,"S",36,TRUE,5,FALSE
376,1,1,"female",82.2,"C",NA,NA,2,FALSE
377,1,3,"female",7.2,"S",264,FALSE,1,TRUE
378,0,1,"male",211.5,"C",324,FALSE,3,FALSE
379,0,3,"male",4,"C",240,FALSE,1,TRUE
380,0,3,"male",7.8,"S",228,TRUE,1,TRUE
381,1,1,"female",227.5,"C",504,FALSE,1,TRUE
382,1,3,"female",15.7,"C",12,TRUE,3,FALSE
383,0,3,"male",7.9,"S",384,FALSE,1,TRUE
384,1,1,"female",52,"S",420,FALSE,2,FALSE
385,0,3,"male",7.9,"S",NA,NA,1,TRUE
386,0,2,"male",73.5,"S",216,TRUE,1,TRUE
387,0,3,"male",46.9,"S",12,TRUE,8,FALSE
388,1,2,"female",13,"S",432,FALSE,1,TRUE
389,0,3,"male",7.7,"Q",NA,NA,1,TRUE
390,1,2,"female",12,"C",204,TRUE,1,TRUE
391,1,1,"male",120,"S",432,FALSE,4,FALSE
392,1,3,"male",7.8,"S",252,FALSE,1,TRUE
393,0,3,"male",7.9,"S",336,FALSE,3,FALSE
394,1,1,"female",113.3,"C",276,FALSE,2,FALSE
395,1,3,"female",16.7,"S",288,FALSE,3,FALSE
396,0,3,"male",7.8,"S",264,FALSE,1,TRUE
397,0,3,"female",7.9,"S",372,FALSE,1,TRUE
398,0,2,"male",26,"S",552,FALSE,1,TRUE
399,0,2,"male",10.5,"S",276,FALSE,1,TRUE
400,1,2,"female",12.7,"S",336,FALSE,1,TRUE
401,1,3,"male",7.9,"S",468,FALSE,1,TRUE
402,0,3,"male",8.1,"S",312,FALSE,1,TRUE
403,0,3,"female",9.8,"S",252,FALSE,2,FALSE
404,0,3,"male",15.8,"S",336,FALSE,2,FALSE
405,0,3,"female",8.7,"S",240,FALSE,1,TRUE
406,0,2,"male",21,"S",408,FALSE,2,FALSE
407,0,3,"male",7.8,"S",612,FALSE,1,TRUE
408,1,2,"male",18.8,"S",36,TRUE,3,FALSE
409,0,3,"male",7.8,"S",252,FALSE,1,TRUE
410,0,3,"female",25.5,"S",NA,NA,5,FALSE
411,0,3,"male",7.9,"S",NA,NA,1,TRUE
412,0,3,"male",6.9,"Q",NA,NA,1,TRUE
413,1,1,"female",90,"Q",396,FALSE,2,FALSE
414,0,2,"male",0,"S",NA,NA,1,TRUE
415,1,3,"male",7.9,"S",528,FALSE,1,TRUE
416,0,3,"female",8.1,"S",NA,NA,1,TRUE
417,1,2,"female",32.5,"S",408,FALSE,3,FALSE
418,1,2,"female",13,"S",216,TRUE,3,FALSE
419,0,2,"male",13,"S",360,FALSE,1,TRUE
420,0,3,"female",24.1,"S",120,TRUE,3,FALSE
421,0,3,"male",7.9,"C",NA,NA,1,TRUE
422,0,3,"male",7.7,"Q",252,FALSE,1,TRUE
423,0,3,"male",7.9,"S",348,FALSE,1,TRUE
424,0,3,"female",14.4,"S",336,FALSE,3,FALSE
425,0,3,"male",20.2,"S",216,TRUE,3,FALSE
426,0,3,"male",7.2,"S",NA,NA,1,TRUE
427,1,2,"female",26,"S",336,FALSE,2,FALSE
428,1,2,"female",26,"S",228,TRUE,1,TRUE
429,0,3,"male",7.8,"Q",NA,NA,1,TRUE
430,1,3,"male",8.1,"S",384,FALSE,1,TRUE
431,1,1,"male",26.6,"S",336,FALSE,1,TRUE
432,1,3,"female",16.1,"S",NA,NA,2,FALSE
433,1,2,"female",26,"S",504,FALSE,2,FALSE
434,0,3,"male",7.1,"S",204,TRUE,1,TRUE
435,0,1,"male",55.9,"S",600,FALSE,2,FALSE
436,1,1,"female",120,"S",168,TRUE,4,FALSE
437,0,3,"female",34.4,"S",252,FALSE,5,FALSE
438,1,2,"female",18.8,"S",288,FALSE,6,FALSE
439,0,1,"male",263,"S",768,FALSE,6,FALSE
440,0,2,"male",10.5,"S",372,FALSE,1,TRUE
441,1,2,"female",26.2,"S",540,FALSE,3,FALSE
442,0,3,"male",9.5,"S",240,FALSE,1,TRUE
443,0,3,"male",7.8,"S",300,FALSE,2,FALSE
444,1,2,"female",13,"S",336,FALSE,1,TRUE
445,1,3,"male",8.1,"S",NA,NA,1,TRUE
446,1,1,"male",81.9,"S",48,TRUE,3,FALSE
447,1,2,"female",19.5,"S",156,TRUE,2,FALSE
448,1,1,"male",26.6,"S",408,FALSE,1,TRUE
449,1,3,"female",19.3,"C",60,TRUE,4,FALSE
450,1,1,"male",30.5,"S",624,FALSE,1,TRUE
451,0,2,"male",27.8,"S",432,FALSE,4,FALSE
452,0,3,"male",20,"S",NA,NA,2,FALSE
453,0,1,"male",27.8,"C",360,FALSE,1,TRUE
454,1,1,"male",89.1,"C",588,FALSE,2,FALSE
455,0,3,"male",8.1,"S",NA,NA,1,TRUE
456,1,3,"male",7.9,"C",348,FALSE,1,TRUE
457,0,1,"male",26.6,"S",780,FALSE,1,TRUE
458,1,1,"female",51.9,"S",NA,NA,2,FALSE
459,1,2,"female",10.5,"S",600,FALSE,1,TRUE
460,0,3,"male",7.8,"Q",NA,NA,1,TRUE
461,1,1,"male",26.6,"S",576,FALSE,1,TRUE
462,0,3,"male",8.1,"S",408,FALSE,1,TRUE
463,0,1,"male",38.5,"S",564,FALSE,1,TRUE
464,0,2,"male",13,"S",576,FALSE,1,TRUE
465,0,3,"male",8.1,"S",NA,NA,1,TRUE
466,0,3,"male",7,"S",456,FALSE,1,TRUE
467,0,2,"male",0,"S",NA,NA,1,TRUE
468,0,1,"male",26.6,"S",672,FALSE,1,TRUE
469,0,3,"male",7.7,"Q",NA,NA,1,TRUE
470,1,3,"female",19.3,"C",9,TRUE,4,FALSE
471,0,3,"male",7.2,"S",NA,NA,1,TRUE
472,0,3,"male",8.7,"S",456,FALSE,1,TRUE
